gene,ACH-001619,ACH-001113,ACH-001339
ODC1,6.4502463,7.0795593,6.452739
OVOL1,1.1108891402526535,1.2814786,0.057301924
P3H1,5.623481,5.103804,6.3157763
PALLD,5.261824,5.808493,4.548307
PC,2.5379024,4.1101127,2.494564
PCDH9,0.6343191,0.41623336,2.152949
PCOLCE,2.6597624,3.5306575,7.55839
PDGFA,2.830567004108427,5.048746,5.6405196
PDGFC,3.857384,3.568847,2.0756593
PDGFRA,0.89593,0.22303449,0.57491237
PDGFRB,0.22818947,0.33465293,1.1345955
PDK4,1.4759253,1.2854581644773475,1.5885503
PDLIM7,5.4223304,6.0053773,4.8358483
PEA15,6.4018455,6.176598,8.180759
PEG10,6.736321,5.0988784,4.8180428
PID1,0.35383704,2.860196,1.1936709
PIK3CD,2.7987556,1.758414,1.7369078
PKP2,2.0629127,2.9014094,0.03434251
PLAAT3,7.0008225,1.9939207,4.9899335
PLAAT4,6.928619,1.6377957,4.896742
PLAUR,5.4460907,2.982068,6.4943676
PLEK2,5.3224187,2.799081,0.7757619
PLK4,3.4493845,4.4484916,4.1146584
PLS1,4.894813,2.698014,3.1875668
PMEPA1,2.5817537,2.95535,6.2282395
PMP22,3.7623913,5.1135464,8.756076
PODXL,1.1222552,1.8017712,4.163499
POSTN,1.65455192621281,0.014456707,0.90315783
PPFIBP2,1.0217142,2.2182853,2.579781
PPIC,6.24769,6.88268,5.782259
PPL,2.6645966,3.0372047,0.29584995
PPP1R9A,0.04295105,0.40202576,0.40289676
PRR5L,2.918119,4.9135547,2.3702173
PRRX1,1.701049869949563,1.701049869949563,5.5410595
PRSS8,1.0402331,1.9707359,0.10618079
PSMD2,6.387483,9.0351095,8.003507
PSME1,8.151565,7.6538982,7.6776986
PTHLH,5.3782654,7.9870706,1.1977836
PTPN21,1.6951298,2.4576862,1.889349
PTPRK,4.6491613,4.0027924,4.0231757
PVR,5.249741,3.9977531,4.340733
PXDC1,5.329504,3.8042705,5.968054
RAB25,0.0899618,4.941172,0.11467486
RAB26,3.2772305,0.8228158,0.63006526
RAB38,4.0218973,0.7336207,6.7434745
RALA,7.376212,4.7027683,5.9266043
RBM47,4.3161025,3.1429935,0.19970313
RFTN1,2.819474434487361,0.15485667,4.090481
RGS4,5.8703547,0.2833434,1.8996745
RUNX2,1.3236641,3.1475754,2.1355119
S100A8,1.8276645921785395,4.0829325,0.14230756
S100P,0.9226295,1.536426,0.20120475
SACS,3.325893,3.3607013,4.238741
SAT1,9.831421,9.752054,8.1067095
SCG2,0.803704,2.4047914,3.7139816
SCG5,4.058074,0.2388321,2.2522945
SCNN1A,5.313308,2.080453,0.42187443
SDC1,7.148446,8.154474,2.9811878
SELENOP,1.9563615,2.5004272,2.237582
SEMA3C,1.2495303,5.135309,4.9410686
SERPINB1,6.297006,2.3438513,5.7656145
SERPINE1,2.2906868,5.3774776,4.068146
SERPINE2,9.411276,6.1578016,12.12899
SERPINH1,6.0179176,7.696112,8.192939
SIK1,0.023550604,3.3939638,0.9675338
SKIL,2.8215327,6.220812,4.010753
SLC16A7,2.017865,0.106686,0.2743881
SLC22A4,1.1265831,0.36683527,0.5293642
SLC26A2,2.9468844,3.073606,6.43464
SLC27A2,1.814776,0.8127726,0.14561616
SLCO2A1,0.20820759,0.042309538,0.24823849
SLCO4A1,3.1786668,3.0154958,3.1831052
SLN,0.6385217117149938,0.6385217117149938,0.2029693
SLPI,4.179511,7.295622,0.159779
SMAD7,3.3905947,4.0362926,3.0150266
SMPDL3B,3.2368996,0.030066231,0.25493985
SMURF2,3.3400323,4.220322,3.5089483
SNAI1,1.4266351,1.3652166,4.529615
SNAI2,3.6425283,6.9151745,5.4957047
SORD,4.850909,5.3049383,5.7033334
SOX2,1.4846011069959812,7.2077365,1.7356521
SPARC,0.6392192,4.5271707,12.2355385
SPDL1,4.6720634,4.846117,5.2277293
SPHK1,2.4006746,2.8357747,4.296068
SPOCK1,4.3580375,0.5759067,1.4479388
SPRY1,0.92401475,0.53471005,4.0370483
SQOR,5.9758525,3.9671686,5.4704003
SRPX,8.56916,1.6726109,7.542142
SRRD,3.4753184,4.182597,5.4738517
ST14,1.4737661,1.6322635,0.04264994
STC1,2.143537,0.06629038,4.8733506
STOM,6.9048934,7.348808,6.041898
SULT1A1,6.698413,5.7110076,3.324547
SYBU,3.8753672,4.1560245,0.23334695
SYNE2,4.1985884,4.501891,3.2435274
TAGLN,0.67974263,2.4413347,3.4427671
TAGLN2,9.785871,9.466851,8.535645
TBC1D8,4.7141795,4.2581267,2.8889518
TBX3,0.2553158,3.8706508,4.8806314
TCF4,2.902101835448992,5.9116797,2.2774284
TFAP2A,1.890614,3.2888355,4.8565025
TFPI2,3.771601293436745,3.2678459,4.601744
TGFB1,5.1119742,4.5823874,3.7612853
TGFB1I1,4.306605,3.6328032,5.019413
TGFBI,9.804841,0.4400709,10.815231
TGFBR2,2.7290285,4.511955,5.5901318
TGM2,0.9983638,0.7298251,5.0588403
THBS1,6.0646973,7.227491,9.252602
TIMP1,10.317119,4.4254394,9.304413
TIMP2,7.933136,3.7649193,8.721103
TIMP3,3.2211533,2.3230617,9.651337
TJP2,4.8014174,4.0259676,3.785739
TJP3,1.2953057,0.33559072,1.6646474705326506
TKT,10.198445,8.326726,7.9478416
TMCC1,2.5445943,3.7298682,3.8598106
TMEM30B,4.5844274,0.015055045,0.101601675
TNC,1.4219422,3.734753,7.911907
TNFAIP2,7.477175,4.720585,4.5041437
TNFAIP6,0.10523689,0.20718819,4.505554
TNFRSF12A,8.469259,7.1083155,6.9647913
TNS1,0.14169829,3.5430999,0.7184103
TP53I3,3.122179,3.454409,3.2656739
TPD52L1,7.749273,5.9685216,4.7609024
TPM1,6.7513967,5.2782674,7.7300625
TPM4,8.425824,8.726808,8.157726
TPST1,4.017913,6.597516,4.9395323
TPST2,2.6270137,3.2749488,3.5074394
TSPAN1,0.5560674,1.6283257,0.62728465
TUBA1A,5.8304787,8.42818,8.265118
TUBA4A,6.157203,6.0762596,2.064983
TUBB3,4.4672666,4.087047,6.5430937
TUFT1,3.1239095,4.847491,2.5173967
VAV3,1.9439683629087032,4.707453,1.4517729
VCAN,3.6062763,0.53683275,4.516633
VEGFC,2.791814,1.1736327,2.0091286
VGLL3,1.6897644740598237,0.027223423,1.410504
VIM,9.894446,8.527031,11.4137125
WNT5A,3.2755435,6.57885,5.158527
WNT5B,2.1129873386364717,0.906328,0.5781852
XYLT1,1.5183517007105898,1.0509335,3.1072762
ZEB1,3.420555,4.7766566,2.473948
ZNF365,0.2884082,2.2694283,2.3026261
